iter	Passed	Remaining
890	3625	443
891	3627	439
892	3630	435
893	3633	430
894	3635	426
895	3638	422
896	3640	418
897	3642	413
898	3644	409
899	3647	405
900	3650	401
901	3652	396
902	3655	392
903	3657	388
904	3659	384
905	3662	380
906	3665	375
907	3668	371
908	3670	367
909	3673	363
910	3675	359
911	3678	354
912	3680	350
913	3682	346
914	3684	342
915	3686	338
916	3688	333
917	3690	329
918	3692	325
919	3694	321
920	3697	317
921	3700	313
922	3705	309
923	3707	304
924	3709	300
925	3711	296
926	3713	292
927	3715	288
928	3717	284
929	3720	280
930	3722	275
931	3724	271
932	3726	267
933	3728	263
934	3729	259
935	3731	255
936	3733	251
937	3735	246
938	3737	242
939	3739	238
940	3741	234
941	3743	230
942	3745	226
943	3747	222
944	3749	218
945	3751	214
946	3753	210
947	3755	205
948	3757	201
949	3759	197
950	3761	193
951	3762	189
952	3764	185
953	3766	181
954	3768	177
955	3770	173
956	3772	169
957	3774	165
958	3776	161
959	3777	157
960	3779	153
961	3781	149
962	3783	145
963	3785	141
964	3787	137
965	3789	133
966	3791	129
967	3793	125
968	3794	121
969	3796	117
970	3799	113
971	3801	109
972	3803	105
973	3805	101
974	3806	97
975	3808	93
976	3811	89
977	3812	85
978	3814	81
979	3816	77
980	3818	73
981	3820	70
982	3822	66
983	3824	62
984	3826	58
985	3828	54
986	3830	50
987	3832	46
988	3834	42
989	3836	38
990	3838	34
991	3840	30
992	3842	27
993	3844	23
994	3845	19
995	3847	15
996	3849	11
997	3851	7
998	3853	3
999	3854	0
